Anarchism	אנרכיזם
Black Hawk Down	בלאק הוק דאון
Ordinary People	אנשים פשוטים
Dagon	דגון
The Elephant Man	איש הפיל
Battle of Mogadishu	קרב מוגדישו
Atlantic City	אטלנטיק סיטי
Brassica	כרוב
Johnny Hallyday	ג'וני האלידיי
The Verdict	פסק דין
Oz	אוז
Algebraic structure	מבנה אלגברי
Temple of Kom Ombo	מקדש קום אומבו
Louis Finkelstein	לואי פינקלסטיין
Queen Silvia of Sweden	מלכת שוודיה סילביה
Emil Jannings	אמיל יאנינגס
Russian literature	ספרות רוסית
Youssou N'Dour	יוסו נ'דור
Library	ספרייה
O. Tambo International Airport	נמל התעופה הבינלאומי או.אר טאמבו
Ramiro I of Aragon	מלך אראגון רמירו הראשון
Duke of Orléans Charles	דוכס אורליאן שארל הראשון
Stromness	סטרומנס
Sancho Ramírez	מלך אראגון סנצ'ו הראשון
Ramiro II of Aragon	מלך אראגון רמירו השני
Jean de Joinville	ז'אן דה ז'ואנוויל
Association of Southeast Asian Nations	איגוד מדינות דרום-מזרח אסיה
Georg Simmel	גאורג זימל
Uffington White Horse	הסוס הלבן של אפינגטון
Arizona Page	פייג'
Arizona Supai	סופאי
Arizona Fountain Hills	פאונטיין הילס
Arizona Gilbert	גילברט
Arizona Glendale	גלנדייל
Arizona Mesa	מסה
Arizona Scottsdale	סקוטסדייל
Arizona Surprise	סופרייז
Arizona Kingman	קינגמן
Arizona Lake Havasu City	לייק האווסו סיטי
Aryan Brotherhood	האחווה הארית
Arizona Clarkdale	קלארקדייל
Arizona Yuma	יומה
Arkansas Fort Smith	פורט סמית'
Arkansas Fayetteville	פאייטוויל
California Livermore	ליברמור
California Clayton	קלייטון
California Concord	קונקורד
California Calexico	קלקסיקו
California El Centro	אל סנטרו
California Bakersfield	בייקרספילד
Edwards Air Force Base	בסיס חיל האוויר אדוארדס
California Burbank	ברבנק
California Compton	קומפטון
California Covina	קובינה
California East Rancho Dominguez	איסטסייד קומפטון
California Glendora	גלנדורה
California Inglewood	אינגלווד
California Lancaster	לנקסטר
California Malibu	מליבו
California Norwalk	נורווק
California Palmdale	פאלמדייל
California Pomona	פומונה
California South Gate	סאות' גייט
California West Covina	וסט קובינה
California Seal Beach	סיל ביץ'
California Indio	אינדיו
California Riverside	ריברסייד
California Barstow	ברסטו
California San Bernardino	סן ברנרדינו
California Chula Vista	צ'ולה ויסטה
California Imperial Beach	אימפריאל ביץ'
California Oceanside	אושנסייד
California San Luis Obispo	סן לואיס אוביספו
California San Carlos	סן קרלוס
California Santa Barbara	סנטה ברברה
Vandenberg Air Force Base	בסיס חיל האוויר ונדנברג
California Cupertino	קופרטינו
California Mountain View	מאונטיין ויו
California Santa Clara	סנטה קלרה
California Sunnyvale	סאניווייל
California Santa Rosa	סנטה רוזה
Korean Air Lines Flight 007	טיסה 007 של קוריאן אייר
California Modesto	מודסטו
California Oxnard	אוקסנארד
Colorado Arvada	ארבאדה
Colorado Aurora	אורורה
Colorado Broomfield	ברומפילד
Colorado Thornton	ת'ורנטון
Colorado Westminster	וסטמינסטר
Colorado Vail	וייל
Eden	עדן
Colorado Grand Junction	גראנד ג'נקשן
Colorado Greeley	גרילי
Bonaire	בונייר
Kedleston Hall	קדלסטון הול
Delaware Wilmington	וילמינגטון
D.C. Washington	וושינגטון די. סי.
Florida Gainesville	גיינסוויל
Florida Melbourne	מלבורן
Florida Fort Lauderdale	פורט לודרדייל
Florida Hollywood	הוליווד
Insulated-gate bipolar transistor	טרנזיסטור IGBT
Darlington transistor	צמד דרלינגטון
Pierre Bourdieu	פייר בורדייה
Florida Cape Coral	קייפ קורל
Derwent Valley Mills	מפעלי עמק דרוונט
Florida Key West	קי וסט
Marlborough	מרלבורו
Florida Kissimmee	קיסימי
Florida Palm Beach	פאלם ביץ'
Florida West Palm Beach	וסט פאלם ביץ'
Florida St. Augustine	סיינט אוגוסטין
Florida Port St. Lucie	פורט סנט לוסי
Georgia Macon	מייקון
Georgia Milan	מילאן
Georgia Columbus	קולומבוס
Hawaii Hilo	הילו
Stralsund	שטרלזונד
Hawaii Kaneohe	קאנאוהה
Hawaii Pearl City	פרל סיטי
Hawaii Waipahu	ואיפאהו
Hawaii Lihue	ליהואה
Hawaii Kahului	קאהולואי
Hawaii Kaunakakai	קאונקאקאי
Hawaii Lanai City	לאנאי
Illinois Cairo	קהיר
Illinois Allerton	אלרטון
Illinois Champaign	שמפיין
Illinois Savoy	סאבוי
Illinois Urbana	אורבנה
Illinois Maywood	מייווד
Illinois Skokie	סקוקי
Illinois Wilmette	וילמט
Illinois Aurora	אורורה
Pyroxene	פירוקסן
Illinois Joliet	ג'ולייט
Illinois North Utica	צפון אוטיקה
Illinois Waukegan	ווקיגן
Wonder Woman	וונדר וומן
Illinois Peoria	פאוריה
Illinois Monticello	מונטיצ'לו
Illinois Rockford	רוקפורד
The Blitz	הבליץ
Max Stirner	מקס שטירנר
Indiana Bloomington	בלומינגטון
Technical analysis	ניתוח טכני
Indiana South Bend	סאות בנד
Indiana Evansville	אוונסוויל
Ecchi	אצ'י
Autodesk Maya	Maya
Oh My Goddess!	Oh My Goddess!
Inuyasha	אינויאשה
Skåne County	מחוז סקונה
Whole tone scale	סולם הטונים השלמים
Marshall Space Flight Center	מרכז טיסות החלל מרשל
Temperament	מזג
Sean Astin	שון אסטין
Pontius Pilate	פונטיוס פילאטוס
Billie Jean King	בילי ג'ין קינג
Mastaba	מסטבה
System of linear equations	מערכת משוואות לינאריות
Pyramid of Djoser	הפירמידה של ג'וסר
Twinkie	טווינקי
Djoser	ג'וסר
Princess Irene of the Netherlands	נסיכת הולנד איירין
Elliot Dorff	אליוט דורף
The Andy Griffith Show	המופע של אנדי גריפית'
Barbarian	ברברים
Frederick I of Württemberg	מלך וירטמברג פרידריך הראשון
Ben Gurion Airport	נמל התעופה בן-גוריון
Carus	קארוס
Trans and Intersex Association Bisexual Gay International Lesbian	טרנס ואינטרסקס ביסקסואלים הומואים האיגוד הבינלאומי ללסביות
Julie Kavner	ג'ולי קאוונר
Nancy Cartwright	ננסי קארטרייט
Hank Azaria	האנק עזריה
Israel Shahak	ישראל שחק
Landmark Worldwide	לנדמרק אדיוקיישן
1998 Winter Olympics	אולימפיאדת נאגנו
ER	ER
Lillehammer affair	פרשת לילהאמר
1994 Winter Olympics	אולימפיאדת לילהאמר
Law of sines	משפט הסינוסים
Amazonas Leticia	לטיסיה
Ventriloquism	פיתומות
Pashto	פשטו
Janet Evans	ג'נט אוונס
Lawsuit	ליטיגציה
Västra Götaland County	וסטרה ייטלנד
Nature reserve	שמורת טבע
Diprotodontia	קנגוראים
Area of Outstanding Natural Beauty	אזור יופי טבעי יוצא דופן
Novi Sad	נובי סאד
Carloman II	מלך צרפת קרלומן השני
Odo of France	מלך צרפת אודו
Surface tension	מתח פנים
Howard Stern	הווארד סטרן
The Shadow	הצל
1992 Winter Olympics	אולימפיאדת אלברוויל
1980 Winter Olympics	אולימפיאדת לייק פלאסיד
1984 Winter Olympics	אולימפיאדת סרייבו
Constitution of Norway	חוקת נורווגיה
News Corporation	ניוז קורפ
Chi-squared distribution	התפלגות כי בריבוע
Terms of Endearment	תנאים של חיבה
William Prescott	ויליאם פרסקוט
101st Airborne Division	הדיוויזיה המוטסת ה-101
Prizzi's Honor	הכבוד של פריצי
82nd Airborne Division	הדיוויזיה המוטסת ה-82
Platoon	פלאטון
Children of a Lesser God	ילדים חורגים לאלוהים
Hannah and Her Sisters	חנה ואחיותיה
The Mission	המיסיון
Joule–Thomson effect	אפקט ג'ול-תומסון
A Room with a View	חדר עם נוף
José Ferrer	חוזה פרר
Omagh bombing	הפיגוע באומה
1920 Summer Olympics	אולימפיאדת אנטוורפן
Quodlibet	קוודליבט
Aestivation	תרדמת קיץ
Conjunction	מילת קישור
AM broadcasting	שידורי AM
Black–Scholes model	מודל בלק ושולס
Fischer Black	פישר בלק
Myron Scholes	מיירון שולס
Short	מכירה בחסר
Dick	דיק
Sex tourism	תיירות מין
Scream	צעקה
Continental Airlines	קונטיננטל איירליינס
Barbara Tuchman	ברברה טוכמן
General linear group	החבורה הלינארית הכללית
John Constable	ג'ון קונסטבל
Castle Howard	טירת הווארד
Historic Scotland	סקוטלנד ההיסטורית
Robert Adam	רוברט אדם
Flag of the Soviet Union	דגל ברית המועצות
International Council on Monuments and Sites	הוועדה הבינלאומית למונומנטים ולאתרים
Stockholm County	סטוקהולם
Charles MacArthur	צ'ארלס מקארתור
Ahmed Zewail	אחמד זוויל
Mabinogion	מבינוגיון
Video card	כרטיס גרפי
Wong Fei-hung	וונג פיי הונג
Guadalcanal	גוודלקנל
Petronas Towers	מגדלי פטרונס
Hart Memorial Trophy	גביע הארט
Tintin and Alph-Art	טינטין ואלף ארט
Raisin	צימוק
Hekla	הקלה
Cædmon	קאדמון
Geothermal energy	אנרגיה גאותרמית
Sean Penn	שון פן
Iowa Iowa City	איווה סיטי
Iowa Cedar Rapids	סידר רפידס
Matthew Arnold	מת'יו ארנולד
Ontario Kingston	קינגסטון
Adolph Ochs	אדולף אוקס
Kansas Wichita	ויצ'יטה
Kentucky Perryville	פריוויל
Askja	אסקיה
Kentucky Richmond	ריצ'מונד
Louisiana New Iberia	ניו איבריה
Louisiana Lafayette	לפאייט
Louisiana Monroe	מונרו
Maryland Pikesville	פייקסוויל
Massachusetts Lawrence	לורנס
Hygroscopy	היגרוסקופיות
Massachusetts Lowell	לוול
Massachusetts Tewksbury	טוקסברי
Bedum	בדום
Staphylococcus aureus	Staphylococcus aureus
Open publishing	פרסום פתוח
Black comedy	קומדיה שחורה
Xylene	קסילן
Battle of Austerlitz	קרב אוסטרליץ
Max Euwe	מקס אויבה
Battle of Navarino	קרב נאווארינו
Band gap	פער אסור
Arkhangelsk	ארכנגלסק
Robert Bork	רוברט בורק
Howard Keel	הווארד קיל
Gijón	חיחון
Hoogeveen	הוחפיין
Goes	חוס
Dronten	דרונטן
Noordoostpolder	נורדוסטפולדר
WikiProject Military history	ויקיפדיה:מועדונים/הרובה והמקלדת
Almere	אלמיירה
William Holman Hunt	ויליאם הולמן האנט
Innovation	חדשנות
Overijssel Kampen	קמפן
Althing	אלת'ינגי
Cyperus papyrus	גומא פפירוס
Opsterland	אופסטרלנד
Sneek	סנייק
Heel	עקב
Heerlen	הירלן
Roermond	רורמונד
Sittard-Geleen	סיטרד-חליין
Venlo	ונלו
Carolingian Renaissance	הרנסאנס הקרולינגי
Thorn	Þ
Magnetar	מגנטר
Avalon	אבלון
Tiananmen Incident	אירועי כיכר טיין-אן-מן
Doetinchem	דוטינחם
De Ronde Venen	דה רונדה פיינן
Nieuwegein	ניווחיין
Veenendaal	פייננדאל
Herostratus	הרוסטראטוס
Barn	אסם
Barcelona Cathedral	קתדרלת אולליה הקדושה
Tower block	רב-קומות
Michigan Dearborn	דירבורן
Tilting train	רכבת רוכנת
Elimination communication	גידול תינוקות בלי חיתולים
Amstelveen	אמסטלפיין
Beemster	בימסטר
Texel	טסל
Minnesota Rochester	רוצ'סטר
Zoetermeer	זוטרמר
French and Indian Wars	המלחמות הבין-קולוניאליות בין בריטניה לצרפת
Monster	מפלצות
Crore	קרור
Columbus Day	יום קולומבוס
Flag of Upper Volta	דגל וולטה העילית
Claude Joseph Rouget de Lisle	רוז'ה דה ליל
Out-of-body experience	חוויה חוץ-גופית
Mississippi Glendora	גלנדורה
Flag of Burkina Faso	דגל בורקינה פאסו
Missouri Glendale	גלנדייל
The Matrix Reloaded	מטריקס Reloaded
Shays' Rebellion	מרד שייז
Philosophy of physics	פילוסופיה של הפיזיקה
Supreme Court of Canada	בית המשפט העליון של קנדה
Spectral theorem	משפט הפירוק הספקטרלי
Senate of Canada	הסנאט הקנדי
Three Principles of the People	שלושת העקרונות של העם
Montana Missoula	מיזולה
Emmylou Harris	אמילו האריס
John Rawls	ג'ון רולס
Montana Billings	בילינגס
Nebraska Monowi	מונווי
The Edge	דה אדג'
Adam Clayton	אדם קלייטון
Henry Norris Russell	הנרי נוריס ראסל
Matchstick puzzle	חידת גפרורים
Nevada Fallon	פאלון
Nevada Henderson	הנדרסון
Nevada Winnemucca	וינמאקה
Nevada Hawthorne	הות'ורן
China Airlines	צ'יינה איירליינס
Dalarna County	דלרנה
New Hampshire Manchester	מנצ'סטר
New Hampshire Nashua	נשואה
Hard rock	הארד רוק
Gothic rock	רוק גותי
New Jersey Paramus	פרמוס
New Jersey Teaneck	טינק
New Jersey Glendora	גלנדורה
New Jersey Woodbine	וודביין
Winchester Cathedral	קתדרלת וינצ'סטר
Countess of Wessex Sophie	רוזנת וסקס סופי
Earl of Wessex Prince Edward	רוזן וסקס הנסיך אדוארד
Princess Royal Anne	הנסיכה המלכותית אן
New Jersey Hoboken	הובוקן
New Jersey Jersey City	ג'רזי סיטי
New Jersey Union City	יוניון סיטי
Prince of Wales Charles	נסיך ויילס צ'ארלס
Duke of York Prince Andrew	דוכס יורק הנסיך אנדרו
Duchess of York Sarah	שרה פרגוסון
SkyTrain	רכבת השמים של ונקובר
Matt Ridley	מאט רידלי
Matrix addition	חיבור
List of metropolitan areas by population	הערים הגדולות בעולם
Matrix multiplication	כפל מטריצות
Copper	נחושת
Delusion	מחשבת שווא
Dynamic programming	תכנון דינמי
Stuart Sutcliffe	סטיוארט סאטקליף
Lahore	לאהור
Louis Jolliet	לואי ז'ולייה
Continuous track	מזקו"ם
Hatuey	אטואי
Flag of Newfoundland and Labrador	דגל ניופאונדלנד ולברדור
New Jersey Morristown	מוריסטאון
New Jersey Lakewood Township	לייקווד
Battle of Nördlingen	קרב נורדלינגן
New Jersey Paterson	פטרסון
Cavendish	קוונדיש
Robert I of France	מלך צרפת רובר הראשון
Battersea Power Station	תחנת הכוח באטרסי
Hugh the Great	איג הגדול
New Jersey Elizabeth	אליזבת
Nancy Mitford	ננסי מיטפורד
Unity Mitford	יוניטי מיטפורד
New Mexico Milan	מילאן
New Mexico Las Cruces	לאס קרוסס
New Mexico Silver City	סילבר סיטי
Nocturne	נוקטורן
Distributive justice	צדק חלוקתי
New Mexico Farmington	פרמינגטון
Elizabeth Báthory	ארז'בט באטורי
Battle of Lützen	קרב ליצן
Maraca	מאראקס
Paul is dead	תאוריית הקשר על מותו של פול מקרטני
New York Grand Island	גרנד איילנד
1998 FIFA World Cup	מונדיאל 1998
Symmetric matrix	מטריצה סימטרית
Gift economy	כלכלת מתנה
Malay language	מלאית
New York Riga	ריגה
New York Rochester	רוצ'סטר
Prevalence	הימצאות
New York Lake Success	לייק סקסס
Cargolux	קרגולוקס
Internationalization and localization	לוקליזציה
Synthpop	סינת'פופ
Vocal music	מוזיקה ווקאלית
New York Kiryas Joel	קריית יואל
Public Image Ltd	Public Image Ltd.
Staten Island	סטטן איילנד
Le Monde	לה מונד
New York Monsey	מונסי
New York New Square	ניו סקוור
Treaty of Waitangi	הסכם ואיטנגי
Oscar de la Renta	אוסקר דה לה רנטה
Thomas Cavendish	תומאס קוונדיש
Music sequencer	סקוונסר
New York Mount Vernon	מאונט ורנון
New York New Rochelle	ניו רושל
Erotomania	תסמונת דה קלרמבו
Van Halen	ואן היילן
New York White Plains	וייט פליינס
Jane's Addiction	ג'יינז אדיקשן
New York Jerusalem	ג'רוזלם
Mark Rothko	מארק רותקו
Hans Frank	הנס פרנק
North Carolina Asheville	אשוויל
Coffs Harbour	קופס הארבור
End user	משתמש קצה
Besalú	בסלו
Empúries	אמפוריאי
Peter IV of Aragon	מלך אראגון פדרו הרביעי
North Carolina Fayetteville	פאייטוויל
Fort Bragg	פורט בראג
Integrity	עקביות
Operant conditioning	התניה אופרנטית
Samson and Delilah	שמשון ודלילה
North Carolina Wilmington	וילמינגטון
North Carolina Greenville	גרינוויל
Hans Fritzsche	הנס פריטשה
Greifswald	גרייפסוואלד
Boulogne-sur-Mer	בולון-סור-מר
North Carolina Monroe	מונרו
Oxford Balliol College	בייליול קולג'
Oxford Christ Church	כרייסט צ'רץ'
Stockholm	סטוקהולם
Thomas Carlyle	תומאס קרלייל
Cavendish Laboratory	מעבדת קוונדיש
North Dakota Fargo	פארגו
North Dakota Grand Forks	גרנד פורקס
Acadia	אקדיה
Population density	צפיפות אוכלוסייה
Borås	בורוס
Flag of Guernsey	דגל גרנזי
Timeline of Christian missions	היסטוריה של המיסיון הנוצרי
Miami International Airport	נמל התעופה הבינלאומי של מיאמי
Child	ילדות
Ohio Springfield	ספרינגפילד
Neubrandenburg	נויברנדנבורג
Scoliosis	עקמת
Ohio Lakewood	לייקווד
Ohio Orange	אורנג'
Ohio Parma	פארמה
Canadian Charter of Rights and Freedoms	כתב הזכויות והחירויות הקנדי
Brian Epstein	בריאן אפשטיין
Recall election	Recall Election
Paul Martin	פול מרטין
Unitary matrix	מטריצה אוניטרית
Afsluitdijk	אפסלאודייק
Donald Sutherland	דונלד סאת'רלנד
The Last Emperor	הקיסר האחרון
Fatal Attraction	חיזור גורלי
Moonstruck	מוכת ירח
Grid plan	רחובות שתי וערב
Ohio Glendale	גלנדייל
Rain Man	איש הגשם
Mississippi Burning	מיסיסיפי בוערת
Working Girl	נערה עובדת
Driving Miss Daisy	הנהג של מיס דייזי
Dead Poets Society	ללכת שבי אחריו
Field of Dreams	שדה החלומות
My Left Foot	כף רגלי השמאלית
Ohio Lorain	לוריין
Dances with Wolves	רוקד עם זאבים
Awakenings	התעוררות
Cyanobacteria	כחוליות
Ghost	רוח רפאים
Ohio Jerusalem	ג'רוזלם
The Godfather Part III	הסנדק חלק שלישי
Graham Greene	גרהאם גרין
Ohio Mansfield	מנספילד
Ohio Akron	אקרון
Oklahoma Norman	נורמן
Oklahoma Lawton	לוטון
Storm	סופה
Oklahoma Edmond	אדמונד
EBay	EBay
Paul Giamatti	פול ג'יאמטי
Oregon Bend	בנד
Oregon Glendale	גלנדייל
Oregon Medford	מדפורד
Leadership	מנהיגות
Oregon Gresham	גרשם
Richie Sambora	ריצ'י סמבורה
Vertigo	DC Comics#שנות ה-90
Extranet	אקסטראנט
Polis	פוליס
Gävleborg County	יבלבורג
Jämtland County	ימטלנד
Jönköping County	מחוז ינשפינג
Pennsylvania Centralia	סנטרליה
Norrbotten County	נורבוטן
Kiruna	קירונה
Örebro County	ארברו
Helmet	קסדה
Östergötland County	אסטרייטלנד
Värmland County	ורמלנד
Vertigo	ורטיגו
Auguste Comte	אוגוסט קונט
Valencian	ולנסית
Pennsylvania Erie	אירי
Fiscal policy	מדיניות פיסקלית
Lake Taupo	אגם טאופו
Tuple	N-יה סדורה
Isaac Rosenberg	איזק רוזנברג
Cast iron	יצקת
Llangollen	ל'אנגול'ן
Leoš Janáček	לאוש יאנאצ'ק
Hay-on-Wye	היי-און-וואי
Art Ross Trophy	גביע ארט רוס
Pennsylvania Scranton	סקרנטון
Optoelectronics	אלקטרואופטיקה
Pennsylvania Allentown	אלנטאון
Royal Proclamation of 1763	ההכרזה המלכותית של 1763
Second law of thermodynamics	החוק השני של התרמודינמיקה
Vickers Wellington	ויקרס ולינגטון
Slippery When Wet	Slippery When Wet
Surfactant	חומרים פעילי שטח
Madeleine Albright	מדליין אולברייט
Uluru	אולורו
Dead reckoning	ניווט עיוור
Johann Strauss II	יוהאן שטראוס
Johann Strauss I	יוהאן שטראוס
Johann Strauss	יוהאן שטראוס
Beauty and the Beast	היפה והחיה
Bugsy	באגסי
Parallelogram	מקבילית
The Prince of Tides	נסיך הגאות והשפל
Unforgiven	בלתי נסלח
Howards End	זיכרונות מאחוזת הווארד
Scent of a Woman	ניחוח אישה
In the Name of the Father	בשם האב
The Piano	הפסנתר
The Remains of the Day	שארית היום
Crime and Punishment	החטא ועונשו
Jigsaw puzzle	פאזל
Chisel	אזמל
Serfdom	צמיתות
Rhode Island Warwick	ווריק
Rhode Island Cranston	קרנסטון
South Carolina Sullivan's Island	סאליבנס איילנד
South Carolina Gaffney	גפני
Cholesky decomposition	פירוק שולסקי
South Carolina Greenville	גרינוויל
Mountain bike	אופני הרים
South Dakota Dallas	דאלאס
Eardrum	עור התוף
Cochlea	שבלול
Poltergeist	פולטרגייסט
Tennessee Knoxville	נוקסוויל
Tennessee Clarksville	קלארקסוויל
Sexagesimal	בסיס סקסגסימלי
Tennessee Murfreesboro	מרפריסבורו
Texas Killeen	קילין
Texas Brownsville	בראונסוויל
Texas El Paso	אל פאסו
Texas Denison	דניסון
Asia-Pacific Economic Cooperation	APEC
Texas McAllen	מקאלן
Newbie	Noob
Tokyo Disney Resort	אתר הנופש טוקיו דיסני
Texas Lubbock	לאבק
Texas Waco	וייקו
RTFM	RTFM
Primogeniture	העדפת הבן הבכור
Financial Times	Financial Times
Texas San Angelo	סן אנג'לו
Ingvar Kamprad	אינגוואר קמפראד
Texas Laredo	לארדו
Paul Kruger	פול קרוגר
Utah Moab	מואב
Utah Kanab	קנאב
Utah West Jordan	וסט ג'ורדן
Memory hierarchy	מדרג זיכרון
Utah Payson	פייסון
Yasujirō Ozu	יסוג'ירו אוזו
Mikhail Saltykov-Shchedrin	מיכאיל סלטיקוב-שצ'דרין
Amusement park	פארק שעשועים
Roller coaster	רכבת הרים
Maximus the Confessor	מקסימוס המוודה
The Martian Way and Other Stories	כדרך בני מאדים
Monte Carlo	מונטה קרלו
Zecharia Sitchin	זכריה סיטשין
Great Purge	הטיהורים הגדולים
Washington Aberdeen	אברדין
Güstrow	גיסטרו
Washington Snoqualmie	סנוקוולמי
Washington Bremerton	ברמרטון
Washington Gig Harbor	גיג הרבור
Washington Tacoma	טקומה
Five lemma	למת החמישה
Exact sequence	סדרה מדויקת
Washington Spokane	ספוקיין
Dwarfism	גמדות
Washington Blaine	בליין
Novodevichy Cemetery	בית העלמין נובודוויצ'יה
Chain complex	קומפלקס שרשרת
West Virginia Shepherdstown	ועידת שפרדסטאון
Richard Harris	ריצ'רד האריס
Commutative diagram	דיאגרמה
West Virginia Point Pleasant	פוינט פלזנט
Wisconsin Stoughton	סטווטון
Toshiro Mifune	טושירו מיפונה
Defensive wall	חומה
City-state	עיר-מדינה
Nikolai Gogol	ניקולאי גוגול
Wisconsin Kenosha	קנושה
Gauss–Bonnet theorem	משפט גאוס-בונה
Homological algebra	אלגברה הומולוגית
Wisconsin Racine	ראסין
Immortal	אימורטל
Wisconsin New Richmond	ניו ריצ'מונד
Sharp	דיאז
Flat	במול
Economic bubble	בועה כלכלית
Wyoming Laramie	לאראמי
Emperor	אמפרור
Kardashev scale	סולם קרדשב
Drago Doctrine	דוקטרינת דראגו
Bot	בוט
Báthory family	בית באטורי
Aerobraking	בלימה אטמוספירית
Hammerstone	מקבת
Alice Cooper	אליס קופר
Savoy Palace	ארמון סבוי
Antonia Fraser	אנטוניה פרייזר
Mount Kosciuszko	הר קושצ'ושקו
Tadeusz Kościuszko	תדיאוש קושצ'ושקו
Neustrelitz	נוישטרליץ
Sikkim	סיקים
Bathory	באת'ורי
Armenian Genocide	רצח העם הארמני
Saarbrücken	זארבריקן
Abbottabad	אבוטאבאד
Mitanni	מיתני
United States Agency for International Development	הסוכנות האמריקנית לפיתוח בינלאומי
Alfred Brendel	אלפרד ברנדל
Bedřich Smetana	בדז'יך סמטנה
Stanford torus	טורוס סטנפורד
Ronald Syme	רונלד סיים
Hugh Trevor-Roper	יו טרבור-רופר
Drachten	דראכטן
Base	בסיס
Lists of earthquakes	רעידות אדמה
Sarmatians	סרמטים
Shuriken	שוריקן
Charlie Brown	צ'ארלי בראון
Rügen	ריגן
Khosrow I	ח'וסרו הראשון
Kavadh I	קבאד הראשון
Kavadh II	קבאד השני
Penny	פני
Khosrow II	ח'וסרו השני
Peroz I	פירוז הראשון
Siege of Pilsen	קרב פילזן
Vandalism	ויקיפדיה:טיפול בהשחתה
Maria Goeppert-Mayer	מריה גופרט-מאייר
Battle of Narva	קרב נרבה
Let It Be	Let It Be
Geoff Emerick	ג'ף אמריק
Fiber	סיב
Marx	מרקס
Lasagne	לזניה
Bełżec extermination camp	בלז'ץ
Postman Pat	דר דוור
Tropopause	טרופופאוזה
The Ed Sullivan Show	המופע של אד סאליבן
Tortoise	צבים יבשתיים
Decca Records	דקה
EMI	EMI
Sylvester the Cat	סילבסטר החתול
Apatite	אפטיט
Abbey Road Studios	אולפני אבי רוד
Tokugawa Yoshinobu	יושינובו טוקוגאווה
El Greco	אל גרקו
The Long Dark Tea-Time of the Soul	שעת התה הארוכה והאפלה של הנפש
Pyrrho	פירון מאליס
Tivoli Gardens	גני טיבולי
Aer Lingus	אייר לינגוס
Alfred Delp	אלפרד דלפ
Gold rush	בהלה לזהב
Yazdegerd II	יזדגרד השני
Yazdegerd I	יזדגרד הראשון
Yazdegerd III	יזדגרד השלישי
Hundred Flowers Campaign	מערכת מאה הפרחים
Shapur I	שבור הראשון
Shapur II	שבור השני
Pogrom	פוגרום
Giorgione	ג'ורג'ונה
Capacitance	קיבול
Gordian III	גורדיאנוס השלישי
Gordian I	גורדיאנוס הראשון
Anti-ship missile	טיל נגד ספינות
The Road to Wigan Pier	הדרך לרציף ויגן
Snake handling	אחיזת נחשים
Bertelsmann	ברטלסמן
John Zonaras	יואנס זונאראס
Rudolf Virchow	רודולף וירכו
Francesco Redi	פרנצ'סקו רדי
Timpani	טימפני
Ecbatana	אחמתא
Claire Lee Chennault	קלייר שנו
Grozny	גרוזני
First Chechen War	מלחמת צ'צ'ניה הראשונה
Opus number	קיטלוג יצירות קלאסיות
Maximum likelihood estimation	נראות מקסימלית
Flag of Estonia	דגל אסטוניה
Ronald Fisher	רונלד פישר
Sviatoslav Richter	סביאטוסלב ריכטר
Sufficient statistic	סטטיסטי מספיק
Richard Helms	ריצ'רד הלמס
Pair production	יצירת זוג
Velvet	קטיפה
Lake Tahoe	אגם טאהו
J. Jonah Jameson	ג'יי ג'ונה ג'יימסון
Lao language	לאו
Porter	פורטר
Fulling	מבטשה
Fowl	דמויי תרנגול
Onager	פרא
Cai Lun	צאי לון
Air New Zealand	אייר ניו זילנד
Rotavirus	Rotavirus
Laurie Anderson	לורי אנדרסון
Tanning	בורסקאות
Mercury Prize	פרס מרקיורי
Akashi Kaikyō Bridge	גשר אקשי-קייקיו
Arthur de Gobineau	ארתור דה גובינו
African trypanosomiasis	מחלת השינה
Oriana Fallaci	אוריאנה פלאצ'י
Chess problem	בעיית שחמט
Gordie Howe	גורדי האו
Esri	Esri
French Wars of Religion	מלחמות הדת בצרפת
Depth charge	פצצת עומק
Helsinki Airport	נמל התעופה הלסינקי-ונטה
Joe Shuster	ג'ו שוסטר
Kenneth McVay	קן מקווי
Wace	רוברט וייס
List of isthmuses	מצר יבשה
Henryk Górecki	הנריק גורצקי
Pete Seeger	פיט סיגר
Arthur Honegger	ארתור הונגר
Charles-Marie Widor	שארל-מארי וידור
German battleship Bismarck	ביסמרק
Constantius III	קונסטנטיוס השלישי
Aluminium oxide	אלומינה
Material requirements planning	MRP
Fentanyl	פנטניל
France Nancy	נאנסי
Steroid	סטרואיד
J. Barrie	ג'יימס מתיו ברי
Edmond de Goncourt	אדמון דה גונקור
Southern Alps	האלפים הדרומיים
Alstom	אלסטום
Toussaint Louverture	טוסן לוברטיר
Moscow theater hostage crisis	משבר בני הערובה בתיאטרון במוסקבה
DIMM	DIMM
River Fleet	פליט
Minority Report	דו"ח מיוחד
Madonna	מדונה
Madonna	המדונה והילד
HardDayUK.jpg	קובץ:A Hard Day's Night.JPG
Hydride	הידריד
Tube	טיוב
Zoidberg	דוקטור זוידברג
Princess Margriet of the Netherlands	נסיכת הולנד מרגריט
Plessy Ferguson	פסק דין פלסי נגד פרגוסון
Charles James Fox	צ'ארלס ג'יימס פוקס
Niketas Choniates	ניקטאס כוניאטס
Hornbostel–Sachs	הורנבוסטל-זאקס
Motion picture rating system	סיווג צפייה
Top Cat	חתול בצמרת
Seed bank	בנק זרעים
